target,isp,os,latency,jitter,packet_loss,download,upload,date,hour
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,38.16,0.018,0.0,10.66,13.58,18-04-2022,09:40
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,34.86,0.072,0.0,315.40,318.11,18-04-2022,09:41
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,33.26,0.273,0.0,664.62,667.10,18-04-2022,09:41
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,38.12,0.081,0.0,10.67,12.85,18-04-2022,15:31
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,34.844,0.035,0.0,252.74,255.64,18-04-2022,15:32
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,33.425,0.155,0.0,654.65,657.54,18-04-2022,15:32
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,38.248,0.064,0.0,9.91,10.01,19-04-2022,14:27
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,36.338,0.036,0.0,301.50,302.86,19-04-2022,14:27
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.575,0.125,0.0,600.14,603.23,19-04-2022,14:28
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,38.284,0.243,0.0,10.65,12.88,19-04-2022,14:37
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,36.273,0.082,0.0,311.41,313.60,19-04-2022,14:37
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,33.16,0.083,0.0,710.72,713.36,19-04-2022,14:38
alibaba,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Darwin,53.26,1.305,0.0,8.80,8.91,19-04-2022,14:51
amazon,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Darwin,50.165,1.698,0.0,22.89,23.22,19-04-2022,14:51
azure,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Darwin,47.844,11.317,0.0,29.98,30.41,19-04-2022,14:52
alibaba,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Darwin,49.672,0.573,0.0,7.90,8.05,19-04-2022,17:39
amazon,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Darwin,48.74,0.613,0.0,24.27,24.63,19-04-2022,17:40
azure,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Darwin,40.063,1.058,0.0,34.04,34.45,19-04-2022,17:40
alibaba,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Darwin,50.498,0.978,0.0,10.29,10.40,19-04-2022,17:46
amazon,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Darwin,50.725,3.47,0.0,25.34,25.83,19-04-2022,17:46
azure,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Darwin,40.872,1.942,0.0,35.64,36.10,19-04-2022,17:46
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,38.109,0.042,0.0,10.64,13.86,19-04-2022,18:04
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Linux,36.221,0.057,0.0,300.88,303.14,19-04-2022,18:05
